local_graph,global_graph,r,round,active,new,new_local,new_global,new_both
inf-roadNet-CA,soc-delicious,3,21,529765,3208,3208,0,0
inf-roadNet-CA,soc-delicious,3,22,532085,2320,2320,0,0
inf-roadNet-CA,soc-delicious,3,23,533651,1566,1566,0,0
inf-roadNet-CA,soc-delicious,3,24,534654,1003,1003,0,0
inf-roadNet-CA,soc-delicious,3,25,535277,623,623,0,0
inf-roadNet-CA,soc-delicious,3,26,535693,416,416,0,0
inf-roadNet-CA,soc-delicious,3,27,535912,219,219,0,0
inf-roadNet-CA,soc-delicious,3,28,536024,112,112,0,0
inf-roadNet-CA,soc-delicious,3,29,536078,54,54,0,0
inf-roadNet-CA,soc-delicious,3,30,536108,30,30,0,0
inf-roadNet-CA,soc-delicious,5,0,1,1,1,0,0
inf-roadNet-CA,soc-delicious,5,1,3,2,2,0,0
inf-roadNet-CA,soc-delicious,5,2,7,4,4,0,0
inf-roadNet-CA,soc-delicious,5,3,15,8,8,0,0
inf-roadNet-CA,soc-delicious,5,4,27,12,12,0,0
inf-roadNet-CA,soc-delicious,5,5,38,11,11,0,0
inf-roadNet-CA,soc-delicious,5,6,52,14,12,2,0
inf-roadNet-CA,soc-delicious,5,7,77,25,25,0,0
inf-roadNet-CA,soc-delicious,5,8,119,42,40,2,0
inf-roadNet-CA,soc-delicious,5,9,200,81,74,7,0
inf-roadNet-CA,soc-delicious,5,10,329,129,114,15,0
inf-roadNet-CA,soc-delicious,5,11,674,345,201,142,2
inf-roadNet-CA,soc-delicious,5,12,3049,2375,661,1693,21
inf-roadNet-CA,soc-delicious,5,13,17118,14069,4913,8759,397
inf-roadNet-CA,soc-delicious,5,14,58013,40895,23992,15174,1729
inf-roadNet-CA,soc-delicious,5,15,129342,71329,57325,11821,2183
inf-roadNet-CA,soc-delicious,5,16,219012,89670,80241,7569,1860
inf-roadNet-CA,soc-delicious,5,17,307905,88893,81713,5371,1809
inf-roadNet-CA,soc-delicious,5,18,376022,68117,64017,2596,1504
inf-roadNet-CA,soc-delicious,5,19,417932,41910,40771,631,508
inf-roadNet-CA,soc-delicious,5,20,441662,23730,23527,96,107
inf-roadNet-CA,soc-delicious,5,21,456309,14647,14617,13,17
inf-roadNet-CA,soc-delicious,5,22,467268,10959,10951,5,3
inf-roadNet-CA,soc-delicious,5,23,476195,8927,8927,0,0
inf-roadNet-CA,soc-delicious,5,24,484131,7936,7934,2,0
inf-roadNet-CA,soc-delicious,5,25,491285,7154,7154,0,0
inf-roadNet-CA,soc-delicious,5,26,497883,6598,6598,0,0
inf-roadNet-CA,soc-delicious,5,27,504003,6120,6120,0,0
inf-roadNet-CA,soc-delicious,5,28,509453,5450,5450,0,0
inf-roadNet-CA,soc-delicious,5,29,514240,4787,4787,0,0
inf-roadNet-CA,soc-delicious,5,30,518397,4157,4157,0,0
inf-roadNet-CA,soc-delicious,5,31,522060,3663,3663,0,0
inf-roadNet-CA,soc-delicious,5,32,525055,2995,2995,0,0
inf-roadNet-CA,soc-delicious,5,33,527532,2477,2477,0,0
inf-roadNet-CA,soc-delicious,5,34,529608,2076,2076,0,0
inf-roadNet-CA,soc-delicious,5,35,531326,1718,1718,0,0
inf-roadNet-CA,soc-delicious,5,36,532525,1199,1199,0,0
inf-roadNet-CA,soc-delicious,5,37,533552,1027,1027,0,0
inf-roadNet-CA,soc-delicious,5,38,534366,814,814,0,0
inf-roadNet-CA,soc-delicious,5,39,535003,637,637,0,0
inf-roadNet-CA,soc-delicious,5,40,535584,581,581,0,0
inf-roadNet-CA,soc-delicious,5,41,535872,288,288,0,0
inf-roadNet-CA,soc-delicious,5,42,536020,148,148,0,0
inf-roadNet-CA,soc-delicious,5,43,536063,43,43,0,0
inf-roadNet-CA,soc-delicious,5,44,536108,45,45,0,0
inf-roadNet-CA,soc-delicious,7,0,1,1,1,0,0
inf-roadNet-CA,soc-delicious,7,1,3,2,2,0,0
inf-roadNet-CA,soc-delicious,7,2,7,4,4,0,0
inf-roadNet-CA,soc-delicious,7,3,15,8,8,0,0
inf-roadNet-CA,soc-delicious,7,4,27,12,12,0,0
inf-roadNet-CA,soc-delicious,7,5,38,11,11,0,0
inf-roadNet-CA,soc-delicious,7,6,50,12,12,0,0
inf-roadNet-CA,soc-delicious,7,7,68,18,17,1,0
inf-roadNet-CA,soc-delicious,7,8,96,28,28,0,0
inf-roadNet-CA,soc-delicious,7,9,144,48,46,2,0
inf-roadNet-CA,soc-delicious,7,10,208,64,60,4,0
inf-roadNet-CA,soc-delicious,7,11,304,96,94,2,0
inf-roadNet-CA,soc-delicious,7,12,443,139,133,6,0
inf-roadNet-CA,soc-delicious,7,13,672,229,203,26,0
inf-roadNet-CA,soc-delicious,7,14,1141,469,341,128,0
inf-roadNet-CA,soc-delicious,7,15,3023,1882,778,1091,13
inf-roadNet-CA,soc-delicious,7,16,11599,8576,3679,4666,231
inf-roadNet-CA,soc-delicious,7,17,34793,23194,14553,7899,742
inf-roadNet-CA,soc-delicious,7,18,77566,42773,34227,7503,1043
inf-roadNet-CA,soc-delicious,7,19,137568,60002,53857,5211,934
inf-roadNet-CA,soc-delicious,7,20,207619,70051,65476,3762,813
inf-roadNet-CA,soc-delicious,7,21,277629,70010,66190,3007,813
inf-roadNet-CA,soc-delicious,7,22,337740,60111,57200,2113,798
inf-roadNet-CA,soc-delicious,7,23,381930,44190,42773,866,551
inf-roadNet-CA,soc-delicious,7,24,411215,29285,28802,301,182
inf-roadNet-CA,soc-delicious,7,25,429774,18559,18473,46,40
inf-roadNet-CA,soc-delicious,7,26,442097,12323,12302,13,8
inf-roadNet-CA,soc-delicious,7,27,451263,9166,9160,3,3
inf-roadNet-CA,soc-delicious,7,28,459037,7774,7774,0,0
inf-roadNet-CA,soc-delicious,7,29,466085,7048,7048,0,0
inf-roadNet-CA,soc-delicious,7,30,472873,6788,6788,0,0
inf-roadNet-CA,soc-delicious,7,31,479372,6499,6499,0,0
inf-roadNet-CA,soc-delicious,7,32,485589,6217,6217,0,0
inf-roadNet-CA,soc-delicious,7,33,491421,5832,5832,0,0
inf-roadNet-CA,soc-delicious,7,34,496838,5417,5417,0,0
inf-roadNet-CA,soc-delicious,7,35,501986,5148,5148,0,0
inf-roadNet-CA,soc-delicious,7,36,506765,4779,4779,0,0
inf-roadNet-CA,soc-delicious,7,37,511183,4418,4418,0,0
inf-roadNet-CA,soc-delicious,7,38,515147,3964,3964,0,0
inf-roadNet-CA,soc-delicious,7,39,518599,3452,3452,0,0
inf-roadNet-CA,soc-delicious,7,40,521770,3171,3171,0,0
inf-roadNet-CA,soc-delicious,7,41,524557,2787,2787,0,0
inf-roadNet-CA,soc-delicious,7,42,527149,2592,2592,0,0
inf-roadNet-CA,soc-delicious,7,43,529556,2407,2407,0,0
inf-roadNet-CA,soc-delicious,7,44,531709,2153,2153,0,0
inf-roadNet-CA,soc-delicious,7,45,533470,1761,1761,0,0
inf-roadNet-CA,soc-delicious,7,46,534589,1119,1119,0,0
inf-roadNet-CA,soc-delicious,7,47,535321,732,732,0,0
inf-roadNet-CA,soc-delicious,7,48,535747,426,426,0,0
inf-roadNet-CA,soc-delicious,7,49,535907,160,160,0,0
inf-roadNet-CA,soc-delicious,7,50,536038,131,131,0,0
inf-roadNet-CA,soc-delicious,7,51,536108,70,70,0,0
inf-roadNet-CA,soc-delicious,10,0,1,1,1,0,0
inf-roadNet-CA,soc-delicious,10,1,3,2,2,0,0
inf-roadNet-CA,soc-delicious,10,2,7,4,4,0,0
inf-roadNet-CA,soc-delicious,10,3,15,8,8,0,0
inf-roadNet-CA,soc-delicious,10,4,27,12,12,0,0
inf-roadNet-CA,soc-delicious,10,5,38,11,11,0,0
inf-roadNet-CA,soc-delicious,10,6,50,12,12,0,0
inf-roadNet-CA,soc-delicious,10,7,67,17,17,0,0
inf-roadNet-CA,soc-delicious,10,8,92,25,24,1,0
inf-roadNet-CA,soc-delicious,10,9,134,42,42,0,0
inf-roadNet-CA,soc-delicious,10,10,186,52,48,4,0
inf-roadNet-CA,soc-delicious,10,11,264,78,78,0,0
inf-roadNet-CA,soc-delicious,10,12,366,102,102,0,0
inf-roadNet-CA,soc-delicious,10,13,510,144,142,2,0
inf-roadNet-CA,soc-delicious,10,14,700,190,182,8,0
inf-roadNet-CA,soc-delicious,10,15,945,245,232,13,0
inf-roadNet-CA,soc-delicious,10,16,1308,363,310,53,0
inf-roadNet-CA,soc-delicious,10,17,2066,758,542,213,3
inf-roadNet-CA,soc-delicious,10,18,3877,1811,1236,557,18
inf-roadNet-CA,soc-delicious,10,19,8847,4970,2990,1881,99
inf-roadNet-CA,soc-delicious,10,20,20725,11878,8087,3509,282
inf-roadNet-CA,soc-delicious,10,21,43241,22516,18094,3984,438
inf-roadNet-CA,soc-delicious,10,22,77392,34151,30472,3247,432
inf-roadNet-CA,soc-delicious,10,23,122003,44611,41716,2486,409
inf-roadNet-CA,soc-delicious,10,24,173827,51824,49575,1911,338
inf-roadNet-CA,soc-delicious,10,25,227983,54156,52351,1470,335
inf-roadNet-CA,soc-delicious,10,26,279731,51748,49964,1425,359
inf-roadNet-CA,soc-delicious,10,27,325077,45346,43984,1046,316
inf-roadNet-CA,soc-delicious,10,28,361476,36399,35580,592,227
inf-roadNet-CA,soc-delicious,10,29,388937,27461,27040,278,143
inf-roadNet-CA,soc-delicious,10,30,408304,19367,19217,96,54
inf-roadNet-CA,soc-delicious,10,31,421922,13618,13573,23,22
inf-roadNet-CA,soc-delicious,10,32,431880,9958,9946,8,4
inf-roadNet-CA,soc-delicious,10,33,439802,7922,7919,2,1
inf-roadNet-CA,soc-delicious,10,34,446618,6816,6815,0,1
inf-roadNet-CA,soc-delicious,10,35,452843,6225,6225,0,0
inf-roadNet-CA,soc-delicious,10,36,458657,5814,5814,0,0
inf-roadNet-CA,soc-delicious,10,37,464329,5672,5672,0,0
inf-roadNet-CA,soc-delicious,10,38,470072,5743,5743,0,0
inf-roadNet-CA,soc-delicious,10,39,475720,5648,5648,0,0
inf-roadNet-CA,soc-delicious,10,40,481088,5368,5368,0,0
inf-roadNet-CA,soc-delicious,10,41,486318,5230,5230,0,0
inf-roadNet-CA,soc-delicious,10,42,491273,4955,4955,0,0
inf-roadNet-CA,soc-delicious,10,43,496137,4864,4864,0,0
inf-roadNet-CA,soc-delicious,10,44,500740,4603,4603,0,0
inf-roadNet-CA,soc-delicious,10,45,505246,4506,4506,0,0
inf-roadNet-CA,soc-delicious,10,46,509683,4437,4437,0,0
inf-roadNet-CA,soc-delicious,10,47,514023,4340,4340,0,0
inf-roadNet-CA,soc-delicious,10,48,518174,4151,4151,0,0
inf-roadNet-CA,soc-delicious,10,49,521876,3702,3702,0,0
inf-roadNet-CA,soc-delicious,10,50,525031,3155,3155,0,0
inf-roadNet-CA,soc-delicious,10,51,527842,2811,2811,0,0
inf-roadNet-CA,soc-delicious,10,52,530132,2290,2290,0,0
inf-roadNet-CA,soc-delicious,10,53,531968,1836,1836,0,0
inf-roadNet-CA,soc-delicious,10,54,533565,1597,1597,0,0
inf-roadNet-CA,soc-delicious,10,55,534708,1143,1143,0,0
inf-roadNet-CA,soc-delicious,10,56,535433,725,725,0,0
inf-roadNet-CA,soc-delicious,10,57,535879,446,446,0,0
inf-roadNet-CA,soc-delicious,10,58,535986,107,107,0,0
inf-roadNet-CA,soc-delicious,10,59,536070,84,84,0,0
inf-roadNet-CA,soc-delicious,10,60,536099,29,29,0,0
inf-roadNet-CA,soc-delicious,10,61,536108,9,9,0,0
inf-roadNet-CA,soc-delicious,15,0,1,1,1,0,0
inf-roadNet-CA,soc-delicious,15,1,3,2,2,0,0
inf-roadNet-CA,soc-delicious,15,2,7,4,4,0,0
inf-roadNet-CA,soc-delicious,15,3,15,8,8,0,0
inf-roadNet-CA,soc-delicious,15,4,27,12,12,0,0
inf-roadNet-CA,soc-delicious,15,5,38,11,11,0,0
inf-roadNet-CA,soc-delicious,15,6,50,12,12,0,0
inf-roadNet-CA,soc-delicious,15,7,67,17,17,0,0
inf-roadNet-CA,soc-delicious,15,8,91,24,24,0,0
inf-roadNet-CA,soc-delicious,15,9,129,38,38,0,0
inf-roadNet-CA,soc-delicious,15,10,169,40,40,0,0
inf-roadNet-CA,soc-delicious,15,11,225,56,53,3,0
inf-roadNet-CA,soc-delicious,15,12,300,75,73,2,0
inf-roadNet-CA,soc-delicious,15,13,409,109,109,0,0
inf-roadNet-CA,soc-delicious,15,14,551,142,140,2,0
inf-roadNet-CA,soc-delicious,15,15,720,169,167,2,0
inf-roadNet-CA,soc-delicious,15,16,916,196,193,3,0
inf-roadNet-CA,soc-delicious,15,17,1180,264,258,6,0
inf-roadNet-CA,soc-delicious,15,18,1534,354,342,12,0
inf-roadNet-CA,soc-delicious,15,19,2026,492,467,25,0
inf-roadNet-CA,soc-delicious,15,20,2750,724,644,80,0
inf-roadNet-CA,soc-delicious,15,21,4030,1280,1034,243,3
inf-roadNet-CA,soc-delicious,15,22,6455,2425,1906,503,16
inf-roadNet-CA,soc-delicious,15,23,11114,4659,3585,1021,53
inf-roadNet-CA,soc-delicious,15,24,19589,8475,6942,1445,88
inf-roadNet-CA,soc-delicious,15,25,33560,13971,12274,1564,133
inf-roadNet-CA,soc-delicious,15,26,53748,20188,18639,1397,152
inf-roadNet-CA,soc-delicious,15,27,80138,26390,25088,1166,136
inf-roadNet-CA,soc-delicious,15,28,112209,32071,30910,1030,131
inf-roadNet-CA,soc-delicious,15,29,148638,36429,35440,858,131
inf-roadNet-CA,soc-delicious,15,30,187659,39021,38193,715,113
inf-roadNet-CA,soc-delicious,15,31,226575,38916,38237,581,98
inf-roadNet-CA,soc-delicious,15,32,263915,37340,36718,529,93
inf-roadNet-CA,soc-delicious,15,33,298475,34560,34007,448,105
inf-roadNet-CA,soc-delicious,15,34,329278,30803,30423,315,65
inf-roadNet-CA,soc-delicious,15,35,355747,26469,26183,239,47
inf-roadNet-CA,soc-delicious,15,36,377616,21869,21706,133,30
inf-roadNet-CA,soc-delicious,15,37,395173,17557,17447,91,19
inf-roadNet-CA,soc-delicious,15,38,409117,13944,13895,38,11
inf-roadNet-CA,soc-delicious,15,39,420162,11045,11027,11,7
inf-roadNet-CA,soc-delicious,15,40,429119,8957,8950,2,5
inf-roadNet-CA,soc-delicious,15,41,436701,7582,7579,2,1
inf-roadNet-CA,soc-delicious,15,42,443441,6740,6738,2,0
inf-roadNet-CA,soc-delicious,15,43,449616,6175,6175,0,0
inf-roadNet-CA,soc-delicious,15,44,455291,5675,5675,0,0
inf-roadNet-CA,soc-delicious,15,45,460734,5443,5443,0,0
inf-roadNet-CA,soc-delicious,15,46,465987,5253,5253,0,0
inf-roadNet-CA,soc-delicious,15,47,471149,5162,5162,0,0
inf-roadNet-CA,soc-delicious,15,48,476166,5017,5017,0,0
inf-roadNet-CA,soc-delicious,15,49,481165,4999,4999,0,0
inf-roadNet-CA,soc-delicious,15,50,486057,4892,4892,0,0
inf-roadNet-CA,soc-delicious,15,51,490837,4780,4780,0,0
inf-roadNet-CA,soc-delicious,15,52,495411,4574,4574,0,0
inf-roadNet-CA,soc-delicious,15,53,499942,4531,4531,0,0
inf-roadNet-CA,soc-delicious,15,54,504406,4464,4464,0,0
inf-roadNet-CA,soc-delicious,15,55,508749,4343,4343,0,0
inf-roadNet-CA,soc-delicious,15,56,512672,3923,3923,0,0
inf-roadNet-CA,soc-delicious,15,57,516288,3616,3616,0,0
inf-roadNet-CA,soc-delicious,15,58,519217,2929,2929,0,0
inf-roadNet-CA,soc-delicious,15,59,522078,2861,2861,0,0
inf-roadNet-CA,soc-delicious,15,60,524732,2654,2654,0,0
inf-roadNet-CA,soc-delicious,15,61,527222,2490,2490,0,0
inf-roadNet-CA,soc-delicious,15,62,529013,1791,1791,0,0
inf-roadNet-CA,soc-delicious,15,63,530368,1355,1355,0,0
inf-roadNet-CA,soc-delicious,15,64,531562,1194,1194,0,0
inf-roadNet-CA,soc-delicious,15,65,532619,1057,1057,0,0
inf-roadNet-CA,soc-delicious,15,66,533381,762,762,0,0
inf-roadNet-CA,soc-delicious,15,67,534063,682,682,0,0
inf-roadNet-CA,soc-delicious,15,68,534677,614,614,0,0
inf-roadNet-CA,soc-delicious,15,69,535072,395,395,0,0
inf-roadNet-CA,soc-delicious,15,70,535449,377,377,0,0
inf-roadNet-CA,soc-delicious,15,71,535788,339,339,0,0
inf-roadNet-CA,soc-delicious,15,72,536106,318,318,0,0
inf-roadNet-CA,soc-delicious,15,73,536108,2,2,0,0
inf-roadNet-CA,soc-delicious,20,0,1,1,1,0,0
inf-roadNet-CA,soc-delicious,20,1,3,2,2,0,0
inf-roadNet-CA,soc-delicious,20,2,7,4,4,0,0
inf-roadNet-CA,soc-delicious,20,3,15,8,8,0,0
inf-roadNet-CA,soc-delicious,20,4,27,12,12,0,0
inf-roadNet-CA,soc-delicious,20,5,38,11,11,0,0
inf-roadNet-CA,soc-delicious,20,6,50,12,12,0,0
inf-roadNet-CA,soc-delicious,20,7,67,17,17,0,0
inf-roadNet-CA,soc-delicious,20,8,91,24,24,0,0
inf-roadNet-CA,soc-delicious,20,9,129,38,38,0,0
inf-roadNet-CA,soc-delicious,20,10,169,40,40,0,0
inf-roadNet-CA,soc-delicious,20,11,223,54,53,1,0
inf-roadNet-CA,soc-delicious,20,12,293,70,67,3,0
inf-roadNet-CA,soc-delicious,20,13,397,104,104,0,0
inf-roadNet-CA,soc-delicious,20,14,533,136,134,2,0
inf-roadNet-CA,soc-delicious,20,15,688,155,155,0,0
inf-roadNet-CA,soc-delicious,20,16,863,175,173,1,1
inf-roadNet-CA,soc-delicious,20,17,1080,217,215,2,0
inf-roadNet-CA,soc-delicious,20,18,1363,283,281,2,0
inf-roadNet-CA,soc-delicious,20,19,1733,370,362,8,0
inf-roadNet-CA,soc-delicious,20,20,2194,461,444,17,0
inf-roadNet-CA,soc-delicious,20,21,2805,611,578,33,0
inf-roadNet-CA,soc-delicious,20,22,3705,900,816,80,4
inf-roadNet-CA,soc-delicious,20,23,5047,1342,1201,134,7
inf-roadNet-CA,soc-delicious,20,24,7155,2108,1841,258,9
inf-roadNet-CA,soc-delicious,20,25,10572,3417,2947,444,26
inf-roadNet-CA,soc-delicious,20,26,15896,5324,4700,580,44
inf-roadNet-CA,soc-delicious,20,27,23914,8018,7231,730,57
inf-roadNet-CA,soc-delicious,20,28,35266,11352,10522,753,77
inf-roadNet-CA,soc-delicious,20,29,50468,15202,14468,667,67
inf-roadNet-CA,soc-delicious,20,30,69749,19281,18615,616,50
inf-roadNet-CA,soc-delicious,20,31,92891,23142,22530,562,50
inf-roadNet-CA,soc-delicious,20,32,119744,26853,26272,518,63
inf-roadNet-CA,soc-delicious,20,33,149272,29528,29024,446,58
inf-roadNet-CA,soc-delicious,20,34,180200,30928,30511,362,55
inf-roadNet-CA,soc-delicious,20,35,211396,31196,30819,325,52
inf-roadNet-CA,soc-delicious,20,36,241945,30549,30260,247,42
inf-roadNet-CA,soc-delicious,20,37,270968,29023,28771,224,28
inf-roadNet-CA,soc-delicious,20,38,297952,26984,26789,169,26
inf-roadNet-CA,soc-delicious,20,39,322770,24818,24658,130,30
inf-roadNet-CA,soc-delicious,20,40,345064,22294,22157,117,20
inf-roadNet-CA,soc-delicious,20,41,364965,19901,19798,75,28
inf-roadNet-CA,soc-delicious,20,42,382375,17410,17339,54,17
inf-roadNet-CA,soc-delicious,20,43,397104,14729,14688,29,12
inf-roadNet-CA,soc-delicious,20,44,409638,12534,12516,10,8
inf-roadNet-CA,soc-delicious,20,45,420202,10564,10550,11,3
inf-roadNet-CA,soc-delicious,20,46,429325,9123,9117,5,1
inf-roadNet-CA,soc-delicious,20,47,437189,7864,7861,2,1
inf-roadNet-CA,soc-delicious,20,48,444187,6998,6996,1,1
inf-roadNet-CA,soc-delicious,20,49,450423,6236,6236,0,0
inf-roadNet-CA,soc-delicious,20,50,456243,5820,5820,0,0
inf-roadNet-CA,soc-delicious,20,51,461873,5630,5629,1,0
inf-roadNet-CA,soc-delicious,20,52,467274,5401,5401,0,0
inf-roadNet-CA,soc-delicious,20,53,472559,5285,5285,0,0
inf-roadNet-CA,soc-delicious,20,54,477626,5067,5067,0,0
inf-roadNet-CA,soc-delicious,20,55,482668,5042,5042,0,0
inf-roadNet-CA,soc-delicious,20,56,487797,5129,5129,0,0
inf-roadNet-CA,soc-delicious,20,57,492797,5000,5000,0,0
inf-roadNet-CA,soc-delicious,20,58,497579,4782,4782,0,0
inf-roadNet-CA,soc-delicious,20,59,502249,4670,4670,0,0
inf-roadNet-CA,soc-delicious,20,60,506684,4435,4435,0,0
inf-roadNet-CA,soc-delicious,20,61,510842,4158,4158,0,0
inf-roadNet-CA,soc-delicious,20,62,514690,3848,3848,0,0
inf-roadNet-CA,soc-delicious,20,63,518301,3611,3611,0,0
inf-roadNet-CA,soc-delicious,20,64,521750,3449,3449,0,0
inf-roadNet-CA,soc-delicious,20,65,524975,3225,3225,0,0
inf-roadNet-CA,soc-delicious,20,66,527714,2739,2739,0,0
inf-roadNet-CA,soc-delicious,20,67,529263,1549,1549,0,0
inf-roadNet-CA,soc-delicious,20,68,530636,1373,1373,0,0
inf-roadNet-CA,soc-delicious,20,69,531831,1195,1195,0,0
inf-roadNet-CA,soc-delicious,20,70,532944,1113,1113,0,0
inf-roadNet-CA,soc-delicious,20,71,533772,828,828,0,0
inf-roadNet-CA,soc-delicious,20,72,534412,640,640,0,0
inf-roadNet-CA,soc-delicious,20,73,534994,582,582,0,0
inf-roadNet-CA,soc-delicious,20,74,535522,528,528,0,0
inf-roadNet-CA,soc-delicious,20,75,535958,436,436,0,0
inf-roadNet-CA,soc-delicious,20,76,536025,67,67,0,0
inf-roadNet-CA,soc-delicious,20,77,536069,44,44,0,0
inf-roadNet-CA,soc-delicious,20,78,536098,29,29,0,0
inf-roadNet-CA,soc-delicious,20,79,536104,6,6,0,0
inf-roadNet-CA,soc-delicious,20,80,536108,4,4,0,0
inf-roadNet-CA,soc-delicious,40,0,1,1,1,0,0
inf-roadNet-CA,soc-delicious,40,1,3,2,2,0,0
inf-roadNet-CA,soc-delicious,40,2,7,4,4,0,0
inf-roadNet-CA,soc-delicious,40,3,15,8,8,0,0
inf-roadNet-CA,soc-delicious,40,4,27,12,12,0,0
inf-roadNet-CA,soc-delicious,40,5,38,11,11,0,0
inf-roadNet-CA,soc-delicious,40,6,50,12,12,0,0
inf-roadNet-CA,soc-delicious,40,7,67,17,17,0,0
inf-roadNet-CA,soc-delicious,40,8,91,24,24,0,0
inf-roadNet-CA,soc-delicious,40,9,129,38,38,0,0
inf-roadNet-CA,soc-delicious,40,10,169,40,40,0,0
inf-roadNet-CA,soc-delicious,40,11,222,53,53,0,0
inf-roadNet-CA,soc-delicious,40,12,288,66,66,0,0
inf-roadNet-CA,soc-delicious,40,13,381,93,92,1,0
inf-roadNet-CA,soc-delicious,40,14,498,117,117,0,0
inf-roadNet-CA,soc-delicious,40,15,627,129,127,2,0
inf-roadNet-CA,soc-delicious,40,16,765,138,138,0,0
inf-roadNet-CA,soc-delicious,40,17,918,153,153,0,0
inf-roadNet-CA,soc-delicious,40,18,1110,192,189,3,0
inf-roadNet-CA,soc-delicious,40,19,1348,238,236,2,0
inf-roadNet-CA,soc-delicious,40,20,1625,277,276,1,0
inf-roadNet-CA,soc-delicious,40,21,1946,321,319,2,0
inf-roadNet-CA,soc-delicious,40,22,2325,379,378,1,0
inf-roadNet-CA,soc-delicious,40,23,2794,469,467,2,0
inf-roadNet-CA,soc-delicious,40,24,3343,549,548,1,0
inf-roadNet-CA,soc-delicious,40,25,3984,641,639,2,0
inf-roadNet-CA,soc-delicious,40,26,4715,731,720,11,0
inf-roadNet-CA,soc-delicious,40,27,5571,856,842,14,0
inf-roadNet-CA,soc-delicious,40,28,6630,1059,1040,18,1
inf-roadNet-CA,soc-delicious,40,29,7878,1248,1231,17,0
inf-roadNet-CA,soc-delicious,40,30,9466,1588,1554,34,0
inf-roadNet-CA,soc-delicious,40,31,11433,1967,1909,57,1
inf-roadNet-CA,soc-delicious,40,32,13817,2384,2303,76,5
inf-roadNet-CA,soc-delicious,40,33,16758,2941,2858,77,6
inf-roadNet-CA,soc-delicious,40,34,20254,3496,3404,86,6
inf-roadNet-CA,soc-delicious,40,35,24408,4154,4030,117,7
inf-roadNet-CA,soc-delicious,40,36,29419,5011,4906,99,6
inf-roadNet-CA,soc-delicious,40,37,35552,6133,6043,83,7
inf-roadNet-CA,soc-delicious,40,38,42852,7300,7208,91,1
inf-roadNet-CA,soc-delicious,40,39,51484,8632,8497,128,7
inf-roadNet-CA,soc-delicious,40,40,61663,10179,10057,109,13
inf-roadNet-CA,soc-delicious,40,41,73697,12034,11928,102,4
inf-roadNet-CA,soc-delicious,40,42,87525,13828,13730,88,10
inf-roadNet-CA,soc-delicious,40,43,103004,15479,15374,100,5
inf-roadNet-CA,soc-delicious,40,44,119864,16860,16766,86,8
inf-roadNet-CA,soc-delicious,40,45,137884,18020,17930,82,8
inf-roadNet-CA,soc-delicious,40,46,156752,18868,18780,78,10
inf-roadNet-CA,soc-delicious,40,47,176377,19625,19549,70,6
inf-roadNet-CA,soc-delicious,40,48,196478,20101,20040,51,10
inf-roadNet-CA,soc-delicious,40,49,216470,19992,19928,55,9
inf-roadNet-CA,soc-delicious,40,50,235758,19288,19241,43,4
inf-roadNet-CA,soc-delicious,40,51,254301,18543,18496,42,5
inf-roadNet-CA,soc-delicious,40,52,272293,17992,17963,24,5
inf-roadNet-CA,soc-delicious,40,53,289367,17074,17049,20,5
inf-roadNet-CA,soc-delicious,40,54,305728,16361,16347,14,0
inf-roadNet-CA,soc-delicious,40,55,321318,15590,15571,16,3
